0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:25 +0900] "GET /bookrental/login.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:25 +0900] "GET /bookrental/css/login.css HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:25 +0900] "GET /bookrental/script/member.js HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:25 +0900] "GET /bookrental/image/login.jpg HTTP/1.1" 200 3383
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:25 +0900] "GET /bookrental/image/ico_loginID.png HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:26 +0900] "GET /bookrental/image/ico_loginPW.png HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:26 +0900] "GET /bookrental/image/ico_naviArrow.png HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:26 +0900] "GET /bookrental/image/svisual_img.png HTTP/1.1" 200 557201
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:29 +0900] "POST /bookrental/BookServlet?command=logincheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:29 +0900] "GET /bookrental/BookServlet?command=book_main HTTP/1.1" 200 7264
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:30 +0900] "GET /bookrental/image/%EA%BC%AC%EB%A7%88%EB%84%93%EC%A0%81%EC%82%AC%EC%8A%B4%EB%B2%8C%EB%A0%881.jpg HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:31 +0900] "GET /bookrental/BookServlet?command=book_insert_form HTTP/1.1" 200 7945
